created_at,text,screen_name,profile_image
Tue Feb 23 17:17:09 +0000 2021,"Malcolm - Menininha Pop Star. See The Lyrics and Music Video on our website For Everyone Now
 
#Malcolm #MenininhaPopStar #Music #ForEveryoneNow 

https://t.co/oo9xJA7H0C",fenforeveryone,https://pbs.twimg.com/profile_images/597053094854135808/NTw9dcJZ_normal.jpg
Tue Feb 23 17:09:06 +0000 2021,"this is true. the 90's had tons of strong, actually in-control women in music. Courtney Love, Alanis Morrisette, Salt n Pepa, Queen Latifah, Shirley Manson, Liz Phair, Foxy Brown...even Spice Girls which were also pop but def more ""girl power"" oriented

https://t.co/JgOTWFmdav https://t.co/G4iahz0O3O",bigkittenqueen,https://pbs.twimg.com/profile_images/1358999112662863874/qWWPKDG9_normal.jpg
Tue Feb 23 17:01:26 +0000 2021,"Music artist from Oceanside, CA. He makes music of the housing hip-hop genre with touches in the realms of Pop, Afrobeat, Dancehall, EDM and Reggaeton. The track ""Come to Me"" is of great Pop/Dancehall appeal.     
https://t.co/Ho7rgdO9xx",MySocialPoint,https://pbs.twimg.com/profile_images/1131314392983904256/eTEDTQJR_normal.png
Tue Feb 23 16:56:21 +0000 2021,Lobbing this https://t.co/XAOD55VKyI,tear_rio,https://pbs.twimg.com/profile_images/1341599745429680128/JtI9LD6a_normal.jpg
Tue Feb 23 16:42:38 +0000 2021,"@bduwii @GoldenChild_IV @LaBelleRue @Niggaolas They work with Black creatives and pay them pennies on the dollar for their work and refuse to acknowledge the anti-blackness in their industry and rarely acknowledge the harm they cause to the Black community.

https://t.co/QCcja2gRGE",BlackAnimeGirl7,https://pbs.twimg.com/profile_images/1305643745539510272/GGCj8utH_normal.jpg
Tue Feb 23 16:40:59 +0000 2021,@jamescharles you literally said all this shit about dababy just to look goofy asf especially because there was no diss towards her at all stick to your cut and dry pop music before you step into rap especially when you didn’t catch the word play,chileNEwayx,https://pbs.twimg.com/profile_images/1364273748665393152/aV22mgni_normal.jpg
Tue Feb 23 16:19:56 +0000 2021,@vivalabeckyy Hahahahaha he brought me in to Kpop but now they make actual pop music so I do not listen.,belatricks,https://pbs.twimg.com/profile_images/1342311570928504832/dXzs0m6J_normal.jpg
Tue Feb 23 16:18:44 +0000 2021,"#NowPlaying : Pop Smoke - For the Night (feat. Lil Baby &amp; DaBaby) | Tune In Now @ https://t.co/zQWRXor1CL | Available On Shoutcast, TuneIn &amp; Apple Music.",leakcityradio,https://pbs.twimg.com/profile_images/1286768688054534144/nAcaRAXr_normal.jpg
Tue Feb 23 16:12:01 +0000 2021,Miles Davis &amp;amp; Chaka Khan: Human Nature (live in Montreux 1989) https://t.co/IanktoFpuC #jazz #pop #hiphop #funk #grooves,Braziliz,https://pbs.twimg.com/profile_images/1242643309471748096/RsIZCiC__normal.jpg
Tue Feb 23 16:09:18 +0000 2021,"FLY is an all-male contemporary dance company from Houston, Texas known for its high-energy performances with clever staging to a variety of music, including classical, jazz, pop, hip-hop, experimental, drumming and live sound effects. Tickets on sale!
https://t.co/ni4prhDlPK https://t.co/4VMGEF2Lhf",camplexevents,https://pbs.twimg.com/profile_images/916312082051620866/JYifY5Za_normal.jpg
Tue Feb 23 16:05:55 +0000 2021,"#NOWPLAYING Stardust - Music Sounds Better With You 

CLICK TO LISTEN ➡️ https://t.co/vOgEUK2yXd  

#freqnetwork #rock #pop #hiphopmusic #rap #playlists  #dance #hiphop #top40",freqnetwork,https://pbs.twimg.com/profile_images/1301589837095542787/VbAGGbP9_normal.jpg
